game,year,review_text,rating,date,likes,topics
clash_of_clans,2024,"It is a good game with nice graphics. I play it very rare but even then I manage to build or research something. I am not in a hurry so the pace is excellent for me. Moreover, if your plan is long term, then your strategy should be based on losing more resources to get a better protection. I am like an Orc with high attack and mediocre defense but it is working incredibly well. So far, I like the game, no spending was necessary.",5,2024-01-28 15:43:57,1990,"['GAMEPLAY', 'VISUAL & AUDIO']"
clash_of_clans,2024,I have been playing this game for the last 7 years off and on and I LOVE IT! I have had to start over several times due to changing phones and not saving my progress but I have starting over down pat. Adding on to My Comments (2/27/24) I am enjoying the new characters and playing fields. I'm piggybacking with the game dropping and disconnecting more from the server. Other than that I have no complaints.,5,2024-02-28 04:32:38,1885,['TECHNICAL']
clash_of_clans,2024,"One of the best mobile strategy games, as it has no ads whatsoever, and it's is completely free. Playing free does take a little longer, like in all games, but your still able to catch up. Spending money saves time rather than gaining an advantage. That's aside, there are only a few things worth spending money on. Also, I personally think that they should lower the time it takes to upgrade stuff, or make the upgrades better. I mean, 4 hours for +.3 gems per day? Absurd. Besides that, its golden!",5,2024-07-28 10:18:48,1473,['GAMEPLAY']
clash_of_clans,2024,"Everything's good. However, I'm not able to track the member contributing to clan Capital. Also, the devs should allow lead and co-lead to modify the rules for new members that join or a board of rules to help members know the promotion, war, and clan capital rules. The priority upgrade in clan capital should also restrict other members from contributing to other buildings to better organize the upgrade. Same for clan wars which allow leader and coleader to customize the base to which mmbr attak",4,2024-11-01 19:28:32,1113,['SOCIAL']
clash_of_clans,2024,"The game is well-designed, featuring impressive graphics and captivating content. It's highly motivating for players and stands out from many modern games that prioritize a 'pay-to-win' approach. While you have the option to make purchases for quicker progression, the game doesn’t pressure you to spend money. You can still enjoy the full experience without paying, though it may take a little longer. The monthly seasons keep the gameplay fresh, providing new experiences on a regular basis.",5,2024-10-06 08:14:00,1024,"['CONTENT & UPDATES', 'GAMEPLAY', 'MONETIZATION', 'VISUAL & AUDIO']"
clash_of_clans,2024,"Overall, the game is more than fine. Good graphics and free-to-play and if you're willing to pay a little, you can get ahead a bit againts other players but not game breaking. I came back from playing a few years back and I think it's still good versus other games out there. Though the design of the later buildings and endgame units are a bit weird for my taste. Anyway goodjob supercell. TY",5,2024-05-04 16:14:41,721,"['MONETIZATION', 'VISUAL & AUDIO']"
clash_of_clans,2024,"It's a brilliant game. Absolutely great. Easy to understand, easy to get into. Only a couple of problems. Certain aspects of the game take an absolute age - e.g mid game feels very slow. Things jump from minutes to hours to days very quickly. Secondly, the Battle Pass is a brilliant, and used to be worth it. The price has increased from ~£4 to £7 (at time of writing) since I've been playing and there's been no actual change/increase in benefits that acxomadte for the increase in price.",3,2024-04-19 04:00:09,592,"['GAMEPLAY', 'MONETIZATION']"
clash_of_clans,2024,"This game is very good and fun, but it's slowly becoming Pay-To-Win. Though I give it five stars because you can still play it without spending any money, and it remained fun. There are no enemies who bought equipment, and then they beat you and there are no secret sections of the game you can only access by paying. Also, every action takes progressively more and more time to complete, encouraging you to spend money to speed it up.",5,2024-01-18 02:18:37,242,['MONETIZATION']
clash_of_clans,2024,"I recently returned to playing this game, and although there are only a few active players now, I'm enjoying it. However, I'm facing an issue where my attacks get abruptly interrupted, even though my internet connection is stable and fast. When I re-login, the attack is either counted or already completed, leaving me frustrated. I hope they can fix this issue soon, as it's affecting my gameplay and I can't seem to have a decent attack without it getting disrupted.",3,2024-04-16 18:06:35,126,"['ACCOUNT & SUPPORT', 'GAMEPLAY', 'TECHNICAL']"
clash_of_clans,2024,"Best game to dominate and defend bases! Honestly, this game has a ton of ways to do so, going from your basic barbarians to dragons and the mythic troops! Now, yes, it does take a lot of time to make such small progress, but my ""lot of time"" (2-3 days) got me up to town hall 5 already with almost 3 builders and I would never dislike the game unless they got rid of something with a ton of potential. I'd reccomend downloading 100% if you want to include yourself in wars, clans, and defense!",5,2024-04-01 03:15:34,50,['GAMEPLAY']
clash_of_clans,2024,"I've been playing clash of clans for years now and all I can say is Clash of Clans is an engaging strategy game where you build, defend, and attack with a variety of troops. It's really fun to play and really addictive especially when it comes to clan wars. You can play with your friends, family, etc. Now my issue is on the builder base. I find it really hard to gain some elixirs and coins because for building and upgrading which is annoying. Please make an easier way to gain elixirs and coins.",4,2024-01-03 03:49:33,34,"['GAMEPLAY', 'SOCIAL', 'TECHNICAL']"
clash_of_clans,2024,"Well first off, i think the developers should add a system where you can attack your friends to see who is more stronger and to make it more fun. Anad of course you can only attack your friends if they are the same town hall level. Also when attacking your friends you wont gain any gold or elixir, because it is just for ""fun"". Secondly everything about the game is just fun. Lastly, it is a very relaxing game since i play the game to just pass the time. All in all a very great game.",4,2024-06-12 00:05:33,4,['GAMEPLAY']
clash_of_clans,2024,"Absolutely delightful strategy game with an engaging mix of base-building, resource management, and tactical combat. The frequent updates and events ensure the content stays fresh, guaranteeing hours of fun. Gameplay wise, there's plenty to enjoy, whether you're going solo or teaming up with clan mates to tackle bigger challenges. While it does offer in-app purchases, with a bit of patience, the game remains rewarding and fun without spending a dime. A definite 5-star mobile gaming experience!",5,2024-01-15 03:19:42,4,"['CONTENT & UPDATES', 'GAMEPLAY', 'MONETIZATION', 'SOCIAL']"
clash_of_clans,2024,"As a clan leader, I am very disappointed to see that clan war replays are no longer available through the entirety of the war details being visible. With the newest update, you can only watch war replays from the past few hours? Come on, Supercell. You make billions, and you can't afford some extra server space to have replays available through one single war. I've been playing since 2014, and it just seems to become more and more of a pay to play game. My interest is declining.",2,2024-02-28 00:26:58,2,"['CONTENT & UPDATES', 'MONETIZATION', 'SOCIAL', 'TECHNICAL']"
clash_of_clans,2024,"Imagine having a blast, being able to play a simple game, with ease while turning most of your brain off. This is an example of a great game, and what Town Hall 2-7 feels like. However; considering that the game develops into a major strategy game, it slowly gets less and less relaxing. This is a very well-developed game, but is hard to progress when most of the time, you wait for an upgrade for 5 days. If you only have a single game downloaded, Clash of Clans is optimal.",3,2024-02-29 14:56:03,1,['GAMEPLAY']
clash_of_clans,2024,"The game is all right in general, but they mess things up with updates. I was enjoying builder base side of it but they changed it. It's now a massive boring grind and not worth bothering with. The weekend raids are alright and base game is what it is, a long grind and pay to win, elements of fun in there. Just don't expect a reply from customer services with any issues with payments, they won't get back to you. The game pass is expensive and not worth it. Gd game to play while taking a dump.",3,2024-02-27 07:21:23,1,['MONETIZATION']
clash_of_clans,2024,"I love these game and as the latest version comes, i think, a lot of players find it more easy to upgrade 'cause of the cost and time reduction applied. I love all about this game except one thing...i hope they can increase the number of glowy ore given to the players by league because some players like me find it hard to obtain due to its low number.",5,2024-01-29 19:53:47,1,"['CONTENT & UPDATES', 'MATCHMAKING & BALANCE', 'MONETIZATION']"
clash_of_clans,2024,"The game went from super good for normal people to play to pay for winning in a sneaky way (like those sneaky goblins) by releasing too many equipments to heroes to upgrade and only way to compete in top just by buying and gemming the upgrades. And upon those, silencing the voices of content creators (that's some big brain moves) having an opinion that doesn't align with the supercell. Anyhow, it's a good game,and many memories are associated with the game. It's sad to see going down in history",3,2024-06-27 13:25:06,0,"['CONTENT & UPDATES', 'MONETIZATION']"
clash_of_clans,2024,"Absolutely smooth experience but over a long time, I just noticed one glitch in the game and it happens in clan games event. Whenever I start a mission in clan games, if I instantly start a battle after starting a mission, it doesn't register the progress. Then I have to do the same job again. That's the only thing I found as a bug or glitch. Thank you ❤️",5,2024-02-23 21:32:59,0,"['CONTENT & UPDATES', 'GAMEPLAY', 'SOCIAL', 'TECHNICAL']"
clash_of_clans,2024,"(June 2021) Awesome game! Feels like it is falling into a pay to win hole. But as long as it stays away from that hole, it will stay one of my favourite mobile games of all time. (Feb 2024) UPDATE: It is most certainly falling down the pay to win hole. Very slowly, but its happening. Still one of the best mobile games out there, but there doesn't seem to be any high effort, non cashgrab games at the moment.",3,2024-02-25 03:29:33,0,"['CONTENT & UPDATES', 'MONETIZATION']"
clash_of_clans,2024,"Certainly! ""Clash of Clans"" is a popular mobile strategy game where players build their own village, train troops, and attack other players' villages to earn resources and trophies. The game features a variety of units, buildings, and spells, allowing for strategic gameplay. With regular updates and a large player base, ""Clash of Clans"" continues to be one of the most successful mobile games, offering both casual and competitive gameplay experiences for players worldwide.",5,2024-03-01 16:33:43,0,['GAMEPLAY']
